batch,Appnumber,Type,MonthlyRent,Size,RacialGroup,Sex,contact,Minneapolis,Law,Positive,StayAtHome
5,1,2,1000,One bedroom units,White American,Female,Positive contact,Minneapolis,0,1,0
5,2,2,1000,One bedroom units,White American,Male,Positive contact,Minneapolis,0,1,0
5,3,2,1000,One bedroom units,Somali American,Female,Positive contact,Minneapolis,0,1,0
6,1,2,1410,One bedroom units,White American,Male,Ghosted,St. Paul and suburbs,0,0,0
6,2,2,1410,One bedroom units,African American,Female,Positive contact,St. Paul and suburbs,0,1,0
6,3,2,1410,One bedroom units,Somali American,Female,Ghosted,St. Paul and suburbs,0,0,0
7,1,2,1695,One bedroom units,White American,Female,Ghosted,Minneapolis,0,0,0
7,2,2,1695,One bedroom units,African American,Female,Positive contact,Minneapolis,0,1,0
7,3,2,1695,One bedroom units,White American,Female,Positive contact,Minneapolis,0,1,0
8,1,2,1501,One bedroom units,African American,Male,Positive contact,St. Paul and suburbs,0,1,0
8,2,2,1501,One bedroom units,Somali American,Female,Positive contact,St. Paul and suburbs,0,1,0
8,3,2,1501,One bedroom units,White American,Female,Positive contact,St. Paul and suburbs,0,1,0
9,1,2,979,One bedroom units,White American,Female,Positive contact,St. Paul and suburbs,0,1,0
9,2,2,979,One bedroom units,White American,Male,Ghosted,St. Paul and suburbs,0,0,0
9,3,2,979,One bedroom units,Somali American,Female,Ghosted,St. Paul and suburbs,0,0,0
10,1,2,1309,One bedroom units,Somali American,Male,Positive contact,St. Paul and suburbs,0,1,0
10,2,2,1309,One bedroom units,White American,Male,Positive contact,St. Paul and suburbs,0,1,0
10,3,2,1309,One bedroom units,African American,Male,Positive contact,St. Paul and suburbs,0,1,0
11,1,2,1210,One bedroom units,Somali American,Female,Positive contact,Minneapolis,0,1,0
11,2,2,1210,One bedroom units,African American,Female,Positive contact,Minneapolis,0,1,0
11,3,2,1210,One bedroom units,African American,Male,Positive contact,Minneapolis,0,1,0
12,1,4,1275,One bedroom units,Somali American,Male,Ghosted,Minneapolis,0,0,0
12,2,4,1275,One bedroom units,Somali American,Male,Ghosted,Minneapolis,0,0,0
12,3,4,1275,One bedroom units,African American,Female,Ghosted,Minneapolis,0,0,0
13,1,2,750,One bedroom units,White American,Female,Ambiguous contact,St. Paul and suburbs,0,0,0
13,2,2,750,One bedroom units,African American,Female,Positive contact,St. Paul and suburbs,0,1,0
13,3,2,750,One bedroom units,African American,Male,Ambiguous contact,St. Paul and suburbs,0,0,0
14,1,4,1380,One bedroom units,White American,Female,Ghosted,Minneapolis,0,0,0
14,2,4,1380,One bedroom units,Somali American,Male,Ghosted,Minneapolis,0,0,0
14,3,4,1380,One bedroom units,Somali American,Female,Ghosted,Minneapolis,0,0,0
15,1,2,1295,One bedroom units,White American,Female,Positive contact,Minneapolis,0,1,0
